x,y,z
0.161218,46.195427,7.223342
0.337390,45.983489,7.435586
0.089651,45.920733,7.379520
0.167654,45.959345,7.105953
0.382053,45.891049,7.166845
0.656297,45.582899,6.956883
0.716855,45.516582,6.885287
0.872887,45.244482,6.940783
0.957476,45.223235,6.921137
1.185345,45.159317,6.924300
1.321987,45.113810,6.763614
1.368587,45.054932,6.759764
1.310146,45.198106,6.647226
1.322226,45.200754,6.526084
1.302079,45.236958,6.504921
1.391818,45.221838,6.512984
1.425985,45.316238,6.468593
1.483845,45.333041,6.540590
1.340344,45.394824,6.720523
1.188350,45.453895,6.791090
0.830326,45.731251,6.797970
0.746422,45.723288,6.815489
0.365172,46.234191,7.030203
0.176338,46.642133,7.049658
0.233200,46.919740,6.962613
0.265715,47.034497,7.021224
0.323409,46.867781,7.071393
0.403103,46.802296,7.055528
0.518578,46.631859,7.220452
0.779972,46.580796,7.367433
0.821077,46.514694,7.390967
0.887509,46.538195,7.329731
0.971178,46.449221,7.325227
0.873337,46.455178,7.330231
0.965554,46.425619,7.310909
0.872474,46.383286,7.383253
1.014474,46.337963,7.335296
0.961666,46.373306,7.456407
0.940355,46.337543,7.315389
0.934097,46.328849,7.378099
1.110442,46.244749,7.464483
1.413912,46.166899,7.577068
1.219529,46.041379,8.014354
1.153490,45.997797,7.891113
1.105481,47.520369,8.386995
0.957145,45.998296,8.034094
0.845153,46.056939,7.950618
0.639361,46.230485,8.161632
0.730664,49.080269,8.719087
0.925192,46.042199,7.984771
0.866763,49.041815,8.695246
0.865554,49.178375,8.688848
0.722983,46.284057,8.117998
0.629576,46.362135,8.067407
0.584517,46.288983,8.105934
0.615259,46.247926,7.992676
0.702358,46.267393,7.855308
0.679840,46.271667,7.859654
0.644654,46.297896,7.790845
0.620973,46.328331,7.642567
0.648535,46.418038,7.688443
0.728981,46.414144,7.604815
0.846845,46.364249,7.399278
0.878776,46.440439,7.387467
0.835797,46.351838,7.411988
0.735713,46.347085,7.457186
0.727022,46.408464,7.492756
0.696193,46.325708,7.466191
0.731690,46.309590,7.529219
0.720784,46.298762,7.386236
0.866738,46.314395,7.271734
0.883416,46.208659,7.646497
0.803757,46.295468,7.704912
0.951570,46.201791,7.347794
1.081792,46.288902,7.174246
0.906431,46.429286,7.276396
0.818789,46.399267,7.253866
0.739256,46.540363,7.227570
0.485872,46.434439,7.231780
0.487963,46.490793,7.112699
0.449538,46.577140,7.087573
0.344708,46.689559,7.058727
0.254719,46.667132,7.112835
0.284049,46.816875,7.037499
0.285473,46.725806,6.945743
0.307806,46.725958,6.992603
0.409254,46.815422,7.033622
0.298987,46.818156,7.018003
0.038405,47.107166,7.121716
0.001022,47.154510,7.192957
0.001195,47.216722,7.196824
-0.158459,47.297286,7.293777
-0.267178,47.582122,7.341954
-0.303210,47.646948,7.252609
-0.296771,47.748625,7.362849
-0.129235,47.835200,7.219898
-0.180319,47.831851,7.232338
-0.192718,47.858536,7.229656
-0.251082,47.878594,7.241238
-0.197772,48.063816,7.125517
-0.292459,48.127133,7.234258
-0.407994,48.216855,7.207229
-0.509302,48.339650,7.184352
-0.582627,48.373075,7.284758
-0.471432,48.531218,7.152505
-0.243926,48.580987,6.973388
-0.216453,48.680225,6.967102
-0.139793,48.673322,7.076970
-0.178210,48.726940,7.152643
-0.334159,48.785313,7.292338
-0.328672,48.910845,7.216788
-0.421431,49.050679,7.289295
-0.530402,49.098517,7.371397
-0.687368,49.170301,7.459598
-0.646552,49.207638,7.511707
-0.615211,49.316704,7.411459
-0.735644,49.446279,7.491923
-0.875579,49.590048,7.384424
-0.908727,49.801017,7.323386
-0.770778,50.087375,7.266753
-0.655117,50.147909,7.197179
-0.574679,50.289197,7.080674
-0.546363,50.312302,7.225197
-0.733873,50.421381,7.227488
-0.849676,50.529919,7.194949
-1.032554,50.732356,7.210565
-0.875073,50.796339,7.112487
-0.862056,50.861282,7.140427
-0.969783,51.008646,7.145599
-1.134415,50.946642,7.291907
-1.061204,51.068287,7.355058
-1.194437,51.174664,7.601989
-1.233922,51.280762,7.551727
-1.112644,51.220502,7.618403
-1.080943,51.261696,7.744811
-1.247643,51.331998,7.720396
-1.432602,51.393471,7.772777
