x,y,z
1.851508,44.321882,11.019332
2.137120,43.812808,11.063018
2.435241,43.643771,11.258173
2.435241,43.643771,11.258173
2.771373,43.448359,11.113701
3.309178,42.772382,10.719527
3.567092,42.653899,10.299003
3.665356,42.231713,9.851006
3.665356,42.231713,9.851006
3.949394,42.044486,9.543591
4.240366,41.416261,8.523544
4.240366,41.416261,8.523544
4.418088,41.035085,7.724347
4.418088,41.035085,7.724347
4.418088,41.035085,7.724347
4.295532,40.638428,7.368370
4.185588,39.945306,6.220076
4.185588,39.945306,6.220076
4.112190,39.741088,5.825113
4.167977,39.520455,5.200204
4.235181,38.905571,4.417744
4.237650,38.785976,3.746049
4.298791,38.330652,3.383509
4.385692,38.036057,2.889138
4.385692,38.036057,2.889138
4.690698,37.064498,2.247854
4.730858,36.688862,2.163191
4.807889,36.454988,2.096129
4.807889,36.454988,2.096129
4.953619,36.107967,2.107856
4.953619,36.107967,2.107856
5.190959,35.149790,2.209815
5.176969,34.729120,2.266745
5.176969,34.729120,2.266745
5.176969,34.729120,2.266745
5.162312,34.610758,2.364542
5.005425,34.074874,2.828305
4.934683,33.965780,2.993527
4.751151,33.780230,3.052079
4.596719,33.694062,3.308942
4.596719,33.694062,3.308942
4.335017,33.479734,3.558410
4.194519,33.581273,3.668101
4.179997,33.617570,3.782538
4.179997,33.617570,3.782538
4.060071,33.739808,3.797334
4.097001,34.048790,3.813089
4.037359,34.332345,3.857636
3.938892,34.573553,3.891817
3.790183,34.899089,3.846341
3.790183,34.899089,3.846341
3.660213,35.684419,4.187291
3.534109,36.018513,4.338966
3.401638,36.697298,4.576981
3.320012,37.004896,4.891179
3.320012,37.004896,4.891179
2.815047,38.208787,5.220728
2.673129,38.847003,5.437518
2.347842,39.261360,5.395457
2.146320,39.933889,5.511042
2.146320,39.933889,5.511042
1.858659,41.046393,5.640038
1.842199,41.572495,5.811059
1.766207,42.067788,5.827888
1.766207,42.067788,5.827888
1.753948,42.502537,5.829153
1.870700,43.451371,5.945556
1.960548,43.953961,6.123058
2.059476,44.540414,6.457777
2.059476,44.540414,6.457777
2.059476,44.540414,6.457777
2.127675,44.923300,6.567181
2.054269,45.710239,6.677702
2.037705,45.802637,6.979419
1.959672,46.214801,6.882488
1.959672,46.214801,6.882488
1.768411,46.557237,6.777541
1.687291,46.896369,7.102846
1.451922,47.111911,6.817605
1.391649,47.583251,7.145324
1.391649,47.583251,7.145324
1.425121,47.569444,7.335831
1.367761,48.165104,7.302973
1.508321,48.464120,7.593758
1.535619,48.428545,7.339598
1.535619,48.428545,7.339598
1.381307,49.019628,7.343493
1.381307,49.019628,7.343493
1.391547,49.377384,7.667837
1.254395,49.633690,7.490951
1.142185,50.123943,7.921258
1.142185,50.123943,7.921258
