x,y,z
-1.606957,40.190885,2.620912
-1.419725,40.036731,2.620339
-1.539193,39.919779,2.704521
-1.626684,39.930588,2.778630
-1.515200,39.446524,2.566674
-1.271229,38.967345,2.927814
-1.358609,38.354248,3.354960
-1.215638,37.519185,3.873864
-1.346807,36.905719,4.007074
-1.492996,36.363943,4.145422
-1.834799,35.806244,4.228320
N/A,N/A,N/A
-1.785815,35.776378,4.191732
-1.843961,36.459177,3.999360
-2.088017,37.143982,3.674001
-1.850268,38.210590,3.430988
-0.904580,38.846287,3.044336
-0.315905,39.141208,2.847790
0.308603,39.902150,2.640558
0.483670,40.365393,2.742566
0.592509,40.911048,2.651169
0.808717,41.600932,2.433840
0.764076,42.206354,2.359685
0.275615,42.830766,2.536179
-0.568880,43.470744,2.518698
-1.247574,43.880156,2.579209
-1.826460,44.159976,2.725722
-2.918700,44.640258,3.042275
-3.782347,44.977576,3.430774
-4.614445,45.336543,3.685113
-5.442239,45.547190,3.713069
-5.645754,45.408526,3.793318
-6.004493,45.052352,3.737811
-6.021660,44.425819,3.162281
-6.227412,43.993122,2.683900
-6.293575,43.723995,2.668491
-6.859984,43.328116,2.876275
-7.593862,42.867323,3.472197
-7.998527,42.020957,4.088611
-7.546612,41.141248,4.304163
-6.612583,40.282537,4.181493
-6.088876,39.945450,4.172504
-5.326580,39.945514,3.639033
-4.539176,40.241261,3.230240
-3.196284,40.638423,3.079786
-1.821748,40.791836,2.996752
-0.312327,40.758516,3.173294
0.797232,40.672369,3.378518
2.482745,40.696681,3.276564
3.445219,40.858876,3.015321
4.518460,41.181580,2.886895
5.229609,41.026785,2.475845
5.617285,40.803685,1.078399
5.525511,40.987914,-0.158291
5.322758,41.248728,-0.811613
5.244917,41.770151,-1.347751
5.480881,42.522550,-1.988241
5.326646,43.389704,-1.936747
4.851347,44.310358,-1.414171
4.468749,45.118496,-1.032751
4.328051,45.797198,-0.616897
4.333307,46.452956,-0.451894
4.036755,47.078660,-0.281895
3.357481,48.093771,0.216435
2.808685,48.902823,0.821342
2.300513,49.549987,1.138373
1.548129,49.942949,1.513308
0.926453,50.136445,1.807251
0.119088,50.240951,1.996421
-0.796378,50.256440,2.789286
-2.027886,50.051435,3.621185
-2.545975,49.693100,3.903319
