x,y,z
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-1.487533,50.244149,15.440226
-1.537091,50.386655,14.552631
-1.726627,50.629380,14.112458
-1.726627,50.629380,14.112458
-1.851430,50.984089,13.672886
-1.855778,51.128541,12.101587
-1.687057,51.321864,11.466098
-1.687057,51.321864,11.466098
-2.016298,51.599998,10.963142
-1.941391,51.701753,10.328637
-1.575217,51.694915,9.815625
-1.323779,51.485269,9.628671
-1.323779,51.485269,9.628671
-1.208945,51.656197,9.468099
-1.208945,51.656197,9.468099
-1.460475,51.696997,8.661159
-1.299533,51.809300,8.203663
-1.299533,51.809300,8.203663
-1.204929,51.636629,7.664977
-1.038587,51.581470,7.812721
-0.801149,51.792846,7.814202
-0.809173,51.822533,7.391642
-0.809173,51.822533,7.391642
-0.911181,52.093236,7.249570
-0.766319,52.058091,6.986921
-0.766287,52.058254,6.929671
-0.734543,51.965690,7.133169
-0.734543,51.965690,7.133169
-0.487712,52.145456,7.171220
-0.593969,52.099272,6.896725
-0.343969,52.546269,6.772225
-0.401812,52.503555,6.489622
-0.401812,52.503555,6.489622
-0.576223,52.522393,6.569509
-0.814999,52.697041,6.327347
-0.835748,52.908070,6.321634
-0.791733,52.636581,6.032685
-0.791733,52.636581,6.032685
-0.957909,52.718455,5.636948
-1.023868,52.422928,5.976285
-0.649288,52.542679,6.099755
-0.605408,52.259266,6.208659
-0.605408,52.259266,6.208659
-0.515639,51.866676,6.512142
0.281159,50.574880,6.536269
0.281159,50.574880,6.536269
